"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,0,0,0,0
"3",1986,0,0,0,0
"4",1987,0,0,0,0
"5",1988,0,0,0,0
"6",1989,0,0,0,0
"7",1990,0,0,0,0
"8",1991,0,0,0,0
"9",1992,0,0,0,0
"10",1993,0,0,0,0
"11",1994,0,0,0,0
"12",1995,156.578793122111,0.023967331671541,156.578793122111,0.023967331671541
"13",1996,0,0,156.578793122111,0.023967331671541
"14",1997,0,0,156.578793122111,0.023967331671541
"15",1998,0,0,156.578793122111,0.023967331671541
"16",1999,0,0,156.578793122111,0.023967331671541
"17",2000,0,0,156.578793122111,0.023967331671541
"18",2001,0,0,156.578793122111,0.023967331671541
"19",2002,0,0,156.578793122111,0.023967331671541
"20",2003,0,0,156.578793122111,0.023967331671541
"21",2004,0,0,156.578793122111,0.023967331671541
"22",2005,0,0,156.578793122111,0.023967331671541
"23",2006,0,0,156.578793122111,0.023967331671541
"24",2007,0,0,156.578793122111,0.023967331671541
"25",2008,0,0,156.578793122111,0.023967331671541
"26",2009,0,0,156.578793122111,0.023967331671541
"27",2010,0,0,156.578793122111,0.023967331671541
"28",2011,0,0,156.578793122111,0.023967331671541
"29",2012,0,0,156.578793122111,0.023967331671541
"30",2013,0,0,156.578793122111,0.023967331671541
"31",2014,0,0,156.578793122111,0.023967331671541
"32",2015,0,0,156.578793122111,0.023967331671541
