"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,0,0,0,0
"3",1986,0,0,0,0
"4",1987,0,0,0,0
"5",1988,0,0,0,0
"6",1989,0,0,0,0
"7",1990,0,0,0,0
"8",1991,0,0,0,0
"9",1992,662.141470320534,0.07941227059639,662.141470320534,0.07941227059639
"10",1993,0,0,662.141470320534,0.07941227059639
"11",1994,0,0,662.141470320534,0.07941227059639
"12",1995,0,0,662.141470320534,0.07941227059639
"13",1996,0,0,662.141470320534,0.07941227059639
"14",1997,0,0,662.141470320534,0.07941227059639
"15",1998,0,0,662.141470320534,0.07941227059639
"16",1999,0,0,662.141470320534,0.07941227059639
"17",2000,0,0,662.141470320534,0.07941227059639
"18",2001,0,0,662.141470320534,0.07941227059639
"19",2002,0,0,662.141470320534,0.07941227059639
"20",2003,0,0,662.141470320534,0.07941227059639
"21",2004,0,0,662.141470320534,0.07941227059639
"22",2005,0,0,662.141470320534,0.07941227059639
"23",2006,0,0,662.141470320534,0.07941227059639
"24",2007,0,0,662.141470320534,0.07941227059639
"25",2008,0,0,662.141470320534,0.07941227059639
"26",2009,0,0,662.141470320534,0.07941227059639
"27",2010,0,0,662.141470320534,0.07941227059639
"28",2011,0,0,662.141470320534,0.07941227059639
"29",2012,189.561932554368,0.0227346332430966,851.703402874903,0.102146903839487
"30",2013,0,0,851.703402874903,0.102146903839487
"31",2014,0,0,851.703402874903,0.102146903839487
"32",2015,0,0,851.703402874903,0.102146903839487
