"","Year","ZoneTotalBurned_ha","ZoneTotalBurned_pct","ZoneTotalBurned_ha_cum","ZoneTotalBurned_pct_cum","WholeFire_ha","nTotalFires","wildfire_ha","wildfire_pct","wildfire_ha_cum","wildfire_pct_cum","wildfire_IgDate","Wholewildfire_ha","nWildfires","Rxfire_ha","Rxfire_pct","Rxfire_ha_cum","Rxfire_pct_cum","Rxfire_IgDate","WholeRxfire_ha","nRxfires","WLFU_ha","WLFU_pct","WLFU_ha_cum","WLFU_pct_cum","WLFU_IgDate","WholeWLFU_ha","nWLFUfires","unknown_fire_ha","unknown_fire_pct","unknown_fire_ha_cum","unknown_fire_pct_cum","unknown_fire_IgDate","Wholeunknown_fire_ha","nUnknownfires"
"1",1984,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"2",1985,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"3",1986,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"4",1987,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"5",1988,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"6",1989,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"7",1990,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"8",1991,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"9",1992,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"10",1993,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"11",1994,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"12",1995,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"13",1996,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"14",1997,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"15",1998,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"16",1999,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"17",2000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"18",2001,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"19",2002,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"20",2003,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"21",2004,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"22",2005,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"23",2006,26.2838936040994,0.0302787377411165,26.2838936040994,0.0302787377411165,284.089572,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,26.2838936040994,0.0302787377411165,26.2838936040994,0.0302787377411165,"2006/03/08",284.089572,1
"24",2007,0,0,26.2838936040994,0.0302787377411165,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,26.2838936040994,0.0302787377411165,"0",0,0
"25",2008,0,0,26.2838936040994,0.0302787377411165,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,26.2838936040994,0.0302787377411165,"0",0,0
"26",2009,16.9922661920673,0.0195748917343282,43.2761597961667,0.0498536294754447,475.101364,1,NA,NA,NA,NA,NA,NA,NA,16.9922661920673,0.0195748917343282,16.9922661920673,0.0195748917343282,"2009/06/27",475.101364,1,NA,NA,NA,NA,NA,NA,NA,0,0,26.2838936040994,0.0302787377411165,"0",0,0
"27",2010,39.2552223637089,0.0452215566241134,82.5313821598756,0.0950751860995581,207.199232,1,NA,NA,NA,NA,NA,NA,NA,39.2552223637089,0.0452215566241134,56.2474885557763,0.0647964483584416,"2010/03/06",207.199232,1,NA,NA,NA,NA,NA,NA,NA,0,0,26.2838936040994,0.0302787377411165,"0",0,0
"28",2011,0,0,82.5313821598756,0.0950751860995581,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,56.2474885557763,0.0647964483584416,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,26.2838936040994,0.0302787377411165,"0",0,0
"29",2012,0,0,82.5313821598756,0.0950751860995581,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,56.2474885557763,0.0647964483584416,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,26.2838936040994,0.0302787377411165,"0",0,0
"30",2013,0,0,82.5313821598756,0.0950751860995581,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,56.2474885557763,0.0647964483584416,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,26.2838936040994,0.0302787377411165,"0",0,0
"31",2014,0,0,82.5313821598756,0.0950751860995581,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,56.2474885557763,0.0647964483584416,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,26.2838936040994,0.0302787377411165,"0",0,0
"32",2015,0,0,82.5313821598756,0.0950751860995581,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,56.2474885557763,0.0647964483584416,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,26.2838936040994,0.0302787377411165,"0",0,0
